052002801,Apa yang terjadi ketika Nabi Musa menolong lelaki Bani Israil dari lelaki Qibti?,Nabi Musa membunuh lelaki Qibti tanpa sengaja,Nabi Musa terluka parah,Nabi Musa dan lelaki Qibti saling memaafkan,Nabi Musa berjaya menyelesaikan konflik tersebut
062002801,Bagaimanakah reaksi Nabi Musa setelah menyedari perbuatannya?,Baginda merasa bersalah dan meminta ampun kepada Allah,Baginda merasa bangga dengan apa yang telah dilakukannya,Baginda bersembunyi dari penduduk kota,Baginda merasa tidak puas hati dengan tindakannya
072002801,Apa yang membuat Nabi Musa pergi ke Madyan?,Baginda ingin melarikan diri dari kejaran Firaun,Baginda ingin mencari air untuk minum,Baginda ingin menuntut ilmu agama dari penduduk Madyan,Baginda ingin mencari pekerjaan
082002801,Apa yang dilakukan Nabi Musa setelah tiba di Madyan?,Baginda memberi minum kepada ternakan milik dua wanita yang ada di sana,Baginda menutup telaga air,Baginda bersembunyi di tempat yang teduh,Baginda mencari arah ke rumah penduduk Madyan
092002801,Berapa tahun Nabi Musa bersetuju untuk bekerja dengan lelaki tua tersebut sebelum berkahwin dengan anaknya?,8 tahun,6 tahun,10 tahun,12 tahun
102002801,Apakah hukuman yang diberikan oleh Allah kepada Firaun dan tenteranya?,Mereka dilemparkan ke dalam laut,Mereka dihukum dengan penyakit yang melumpuhkan,Mereka diusir dari tanah Mesir,Mereka diberi peluang untuk bertaubat
012002901,Apakah hikmah dari ujian yang diberikan kepada umat Islam?,Untuk menguatkan iman dan kesabaran,Untuk mengetahui keimanan yang sebenar,Untuk memperlihatkan kelemahan manusia,Untuk memberikan pahala yang besar kepada yang sabar
022002901,"Apakah maksud ayat di bawah?""Barangsiapa yang mengharap pertemuan dengan Allah, maka sesungguhnya waktu (yang dijanjikan) Allah itu, pasti datang""",Orang yang berharap bertemu dengan Allah pasti akan menemui-Nya di akhirat,Orang yang berharap bertemu dengan Allah pasti akan gagal,Orang yang berharap bertemu dengan Allah pasti akan menang dalam perjuangan hidup,Orang yang berharap bertemu dengan Allah pasti akan menemui-Nya di dunia ini
032002901,Apakah nasihat Allah kepada umat Islam berhubungan dengan ibu bapa?,Taat kepada ibu bapa selama tidak bertentangan dengan perintah Allah,Taat kepada ibu bapa tanpa syarat, Berbuat baik kepada ibu bapa tanpa mempedulikan fahaman agama mereka,Mencela dan menolak arahan ibu bapa jika tidak sesuai dengan keyakinan agama
042002901,Apakah tugas utama seorang Rasul dalam Surah Al-'Ankabut?,Menyampaikan agama Allah dengan jelas,Membuat umat mereka beriman,Menjaga hati umat mereka,Memastikan umat mereka tidak melakukan dosa
052002901,Siapa yang mendapat azab yang pedih berdasarkan Surah Al-'Ankabut?,Mereka yang kufur ingkar akan ayat-ayat keterangan Allah,Mereka yang percaya pada kekuatan diri sendiri,Mereka yang melakukan banyak ibadah,Mereka yang tidak memperhatikan penciptaan Allah di alam semesta
062002901,Siapakah Nabi yang membenarkan kenabian Nabi Ibrahim dan mengikutinya berpindah?,Nabi Luth,Nabi Muhammad,Nabi Isa,Nabi Musa
072002901,Apakah perbuatan yang dilakukan oleh kaum Nabi Luth yang menjadikan mereka dihancurkan oleh Allah?,Mengerjakan kemungkaran di tempat-tempat terbuka,Berbuat dosa kecil di tempat tersembunyi,,Berjalan di jalanan dengan cara yang tidak sopan
082002901,Apakah tindakan Nabi Luth apabila para malaikat datang kepadanya?,Baginda merasa susah dan tidak punya kekuatan untuk melindungi mereka,Baginda merasa gembira dan selesa dengan kedatangan mereka,Baginda menunjukkan rasa takut dan kebingungan,Baginda tidak memberikan perhatian kepada mereka
092002901,Apakah respons penduduk Madyan terhadap mesej Nabi Syuaib dalam Surah Al-'Ankabut?,Mereka menolaknya dan dihukum dengan gempa bumi,Mereka menerima mesej itu,Mereka berhijrah ke tanah lain,Mereka memohon keampunan
102002901,Apakah perumpamaan yang digunakan Allah untuk menggambarkan kelemahan akidah syirik manusia?,Perumpamaan labah-labah yang membuat rumah,Perumpamaan lebah yang mengumpul madu,Perumpamaan semut yang mengumpul makanan,Perumpamaan burung yang bina sarang
012103001,Siapakah yang dikalahkan oleh Persia dalam peperangan yang disebutkan dalam Surah Rum?,Kerajaan Rom,Umat Islam,Kerajaan Parsi,Kerajaan Yahudi
022103001,"Apakah yang dimaksudkan dengan ""negeri yang terdekat"" dalam peristiwa kejadian kekalahan perang?",Kawasan negeri Syam,Kawasan Mekah,Kawasan Madinah,Laut Mati
032103001,Mengapa orang-orang mukmin akan bergembira pada hari kemenangan yang disebutkan dalam Surah Rum?,Kemenangan umat Islam di Perang Badr,Kemenangan umat Islam di perang Uhud,Kemenangan Rum,Kemenangan Madinah
042103001,Apakah pesanan Allah kepada manusia dalam Surah Rum?, Mengingati akhirat dalam setiap tindakan,Menyelamatkan diri dari azab dunia,Meningkatkan kekayaan duniawi,Mempertimbangkan kehancuran bangsa-bangsa terdahulu
052103001,Apa yang akan terjadi kepada orang-orang yang mendustakan ayat-ayat Allah?,Mereka akan mendapat azab yang buruk,Mereka akan dimasukkan ke dalam syurga,Mereka akan diberikan keampunan,Mereka akan diberikan pahala yang besar
062103001,Mengapa Allah menciptakan pasangan bagi manusia?,Semua jawapan adalah benar,Untuk memberikan kesenangan kepada manusia,Untuk memberikan sifat kasih sayang dan mawaddah antara pasangan,Untuk memastikan kelangsungan keturunan
072103001,Apakah hukum riba?,Haram,Makruh,Sunat,Wajib
082103001,"Apakah yang dimaksudkan dengan frasa ""hadapkan wajahmu kepada agama yang lurus""?",Dorongan untuk mematuhi agama yang benar (Islam),Seruan untuk memberi keutamaan kepada cita-cita duniawi,Arahan untuk meninggalkan amalan keagamaan,Untuk mengikuti kehendak hati sendiri
092103001,Apakah ganjaran yang menanti bagi orang yang beriman dan melakukan amal soleh?,Keselamatan kekal di Akhirat,Kekayaan dan kemakmuran di dunia sahaja,Posisi kepimpinan dalam masyarakat, Pengiktirafan dan kemasyhuran dalam kalangan manusia
102103001,Bagaimana Allah menentukan pembalasan terhadap orang-orang yang berdosa?,Dengan memberikan azab kepada mereka,Dengan membiarkan mereka meneruskan kehidupan mereka,Dengan membiarkan masyarakat menentukan hukuman mereka,Dengan mengutus rasul untuk menghukum mereka
012103101,"Apakah yang dimaksudkan dengan ""lahwa al-hadith""?",Perkataan yang tidak berguna,Perkataan yang memberikan petunjuk,Perkataan yang berisi hikmah,Perkataan yang diilhamkan oleh Allah
022103101,"Apakah yang menjadi perbuatan yang paling utama yang menunjukkan sifat seorang yang ""muhsin""?",Mendirikan solat lima waktu setiap hari,Memberikan sedekah kepada fakir miskin,Mengajar orang ramai tentang al-Quran,Berzikir sepanjang hari
032103101,Apakah sifat-sifat orang yang mendapat petunjuk dari Allah SWT?,"Mereka yang mendirikan solat, memberi zakat, dan yakin akan adanya akhirat",Mereka yang suka berhibur dan mengisi waktu dengan lagu dan muzik,Mereka yang tidak menjaga solat dan tidak memberi zakat,Mereka yang membelanjakan wang untuk menyebarkan keburukan orang
042103101,Apa yang Allah ciptakan sebagai pasak bumi?,Gunung-gunung yang kukuh di permukaan bumi,Langit yang luas dan tanpa tiang,Binatang-binatang yang berkembang biak di bumi,Air hujan yang turun dari langit
052103101,Apakah yang terjadi kepada orang-orang yang melakukan syirik?,Mereka berada dalam kesesatan yang nyata,Mereka akan dimasukkan ke dalam syurga,Mereka akan diberikan ganjaran berlipat ganda,Dipandang mulia oleh masyarakat
062103101,Manakah antara berikut yang merupakan contoh amalan soleh?,Beriman dengan sempurna dan mengerjakan amal ibadah dan kebaikan yang sunnah,Mengerjakan amalan bidaah yang tidak diajarkan oleh Nabi Muhammad SAW,Beriman kepada apa yang perlu dipercayai dan melakukan syirik,Tidak beriman kepada apa yang perlu dipercayai dan melakukan syirik
072103101,Mengapakah manusia perlu berbuat baik kepada ibu?,Semua jawapan adalah benar,Seorang ibu telah menanggung kesakitan dari awal kandungan sehingga akhir penyusuan,Kerana ibu merupakan individu yang paling penting dalam kehidupan seseorang,Kerana ibu menyediakan kasih sayang dan penjagaan sepanjang hidup mereka
082103101,Apakah ajaran yang disampaikan oleh Luqman kepada anaknya?,Semua jawapan adalah benar,Anak harus menghormati ibubapa dan tidak melakukan perbuatan yang buruk,"Anak perlu mematuhi perintah Allah, menjalankan amar ma'ruf dan nahi mungkar, serta bersabar dalam menghadapi ujian",Anak harus menjauhi perilaku sombong dan memperhatikan akhlak dalam interaksi dengan orang lain
092103101,Berapa tempoh yang ditetapkan Allah untuk menceraikan susu anak?,Dua tahun,Satu tahun,Tiga tahun,Empat tahun
102103101,Suara apa yang paling buruk menurut ajaran dalam Surah Luqman?,Suara keldai,Suara lembu, Suara anjing,Suara burung
012103201,Tuduhan terhadap Nabi Muhammad dalam Surah As-Sajdah adalah?,Penipuan dalam penulisan Al-Qur’an,Pengaruh dari jin dalam penurunan Al-Qur’an,Penyampaian cerita-cerita dongeng dalam Al-Qur’an,Penulisan kisah-kisah nyata dalam Al-Qur’an
022103201,Apakah yang dinyatakan oleh Allah tentang tuduhan Nabi Muhammad mencipta Al-Quran?,Allah menegaskan bahawa Al-Quran adalah kebenaran dariNya,Allah mengatakan bahawa Nabi Muhammad adalah penulis Al-Quran,Allah mengungkapkan bahawa Al-Quran ditulis oleh para sahabat,Semua adalah tidak benar
032103201,Apakah yang akan terjadi kepada manusia setelah kematian?,Mereka akan kembali kepada Tuhan mereka untuk menerima balasan,Mereka akan hidup semula dalam bentuk kejadian yang baharu,Mereka akan berada dalam keadaan lenyap selama-lamanya,Mereka akan kekal berada dalam kubur
042103201,Apakah reaksi orang-orang yang berdosa apabila mereka dipersoalkan di hadapan Tuhan mereka di akhirat kelak?,Mereka menundukkan kepala mereka dan meminta dikembalikan ke dunia untuk beramal soleh,Mereka menyatakan kesanggupan untuk menanggung azab dengan sabar,Mereka masih tidak beriman kepada Allah,Mereka berasa gembira
052103201,Apakah tanda orang yang beriman kepada ayat-ayat Allah?,Mereka tunduk sujud apabila diperingatkan dengan ayat-ayat Al-Quran,Mereka tidak membaca Al-Quran,Mereka tidak memerhatikan peringatan,Mereka meminta supaya mereka dikembalikan ke dunia
062103201,Apakah balasan Allah kepada orang berdosa yang menolak hidayah petunjuk-Nya?,Allah akan memenuhi neraka Jahannam dengan mereka dan semua jin,Allah memberikan hidayah petunjuk kepada setiap jiwa,Allah akan memenuhi syurga dengan semua jin dan manusia,Allah akan memberikan hidayah petunjuk kepada orang-orang yang berusaha mencarinya
072103201,"Apakah maksud ""fasik""?",Orang yang melanggar batas-batas Allah dan berpaling daripada kebenaran,Orang yang taat kepada perintah Allah dan mengamalkan amal soleh dengan ikhlas,Orang-orang yang kufur kepada Allah,Orang yang beriman kepada Allah dan Rasul-Nya serta mematuhi syariat Islam
082103201,Apakah balasan yang diberikan kepada orang yang fasik di akhirat?,Tempat kediaman mereka ialah neraka yang penuh dengan azab,Mereka akan mendapat syurga yang penuh dengan kenikmatan,Mereka akan dikembalikan ke dunia untuk diberi peluang kedua,Mereka akan diampuni tanpa sebarang hukuman
092103201,Siapakah yang dikenakan dengan azab dunia sebagai peringatan sebelum azab akhirat yang lebih besar?,Orang-orang yang berbuat syirik dan ingkar terhadap Allah,Orang-orang yang beriman dengan kekuasaan Allah,Orang-orang yang bertaubat dari dosa-dosa mereka,Orang-orang yang taat kepada perintah Allah
102103201,Apakah tindakan yang disyorkan terhadap mereka yang mencemuh atau meragui kebenaran?,"Abaikan ejekan mereka dan sabar menunggu hasil, kerana mereka juga menanti nasib mereka",Terlibat dalam debat yang sengit untuk membuktikan kebenaran secara paksa,Balas dengan ejekan,Elakkan sebarang interaksi dengan mereka dan mengasingkan diri dari masyarakat
022103301,Apakah maksud zihar?,"Zihar adalah amalan buruk yang mana seorang suami menyatakan isterinya haram baginya dengan membandingkannya dengan ibunya",Zihar adalah cara untuk menyatakan perasaan cinta kepada pasangan,Zihar adalah perjanjian damai antara dua belah pihak,"Zihar adalah hukuman yang dikenakan kepada mereka yang melakukan perbuatan zalim terhadap keluarga mereka"
032103301,Apakah hukum yang ditetapkan oleh Islam berkenaan dengan zihar?, Zihar adalah amalan yang dilarang keras oleh Islam dan dianggap sebagai dosa besar,Zihar adalah amalan yang disyariatkan oleh Islam untuk menyelesaikan konflik dalam perkahwinan,Zihar adalah amalan yang harus dilakukan dengan syarat-syarat tertentu berdasarkan keadaan,"Zihar adalah amalan yang dibiarkan atas kebijaksanaan individu dan boleh diterimajika dilakukan dengan niat baik"
042103301,Apakah hukum dalam Islam mengenai menamakan anak angkat dengan nama bapanya yang sebenar?, Diharamkan menamakan anak angkat dengan nama bapanya yang sebenar,Disunatkan untuk menamakan anak angkat dengan nama bapanya yang sebenar,Tidak ada peraturan khusus dalam Islam mengenai penamaan anak angkat,Sunat untuk menamakan anak angkat dengan nama bapanya yang dianggap sebagai wali
052103301,Allah menggambarkan keadaan hati tentera ahzab ketika menyerang Madinah dengan perkataan:,Pandangan mata yang tidak tentu arah ,Hati mereka bersemangat,Mereka tenang dan yakin,Mereka gembira dengan kemenangan yang pasti
062103301,Apa yang Allah lakukan sebagai satu bantuan kepada orang-orang beriman semasa mereka dihadapi oleh tentera Al-Ahzab?,Menghantar angin ribut dan angkatan tentera dari malaikat yang tidak dapat dilihat,Mengirimkan hujan lebat untuk menolong mereka,Menghantar bantuan dari tentera manusia yang kuat,Memberikan makanan dan minuman yang melimpah kepada mereka
072103301,Apa yang dinyatakan oleh golongan munafik dan mereka yang lemah iman dalam Surah Al-Ahzab?,Mereka menyatakan bahawa Allah dan Rasul-Nya hanya menjanjikan tipu daya,Mereka berjanji untuk membela Islam dengan setia,Mereka menyatakan keinginan untuk memimpin umat Islam,Mereka menyatakan kesiapan untuk mempertahankan kota Madinah
082103301,Apa alasan yang diberikan oleh golongan munafik untuk meminta izin kepada Nabi?,Rumah mereka memerlukan perlindungan,Mereka ingin melarikan diri dari medan pertempuran, Mereka ingin menyembunyikan anak isteri mereka,Mereka merasa tidak aman di Madinah
092103301,Apa yang Allah sampaikan kepada Rasulullah mengenai orang-orang yang mencuba untuk melarikan diri dari peperangan?,Melarikan diri tidak akan memberi manfaat jika takdir Allah adalah kematian atau pembunuhan,Mereka tidak akan diberi nikmat kecuali sedikit saja,Mereka akan menemui keberuntungan jika berhasil melarikan diri,Mereka akan diampuni jika mereka melarikan diri dari medan perang
102103301,Apa yang diketahui Allah tentang golongan munafik?,Mereka adalah orang-orang yang cenderung untuk menghalang-halangi kebaikan,Mereka adalah orang-orang yang selalu berdoa kepada Allah,Mereka adalah orang-orang yang selalu menunjukkan kebaikan kepada sesama,Mereka adalah orang-orang yang tidak peduli dengan urusan orang lain
102103301,Bagaimana sifat orang-orang munafik?,Mereka bakhil dalam memberikan pertolongan dan suka mencela ketika keadaan baik,Mereka sangat bersemangat untuk berbuat kebaikan,Mereka sangat takut akan Allah,Mereka selalu menunjukkan ketabahan dan keberanian di medan perang
012203401,Apa yang diberikan Allah kepada Nabi Daud?,Kekuatan untuk membentuk besi,Kekuatan untuk membuat kapal,Kekuatan untuk mengangkat gunung,Kekuatan untuk memanah dengan tepat
022203401,Apa nasihat Allah kepada tentera Nabi Daud?,Kerjakanlah amalan yang soleh,Buat banyak baju besi agar tentera lebih terlindungi,Bersikap ganas dalam peperangan,Hindari menggunakan senjata api
032203401,"Apakah yang dimaksudkan dengan “dan ukurlah anyamannya” berdasarkan ayat di bawah?“(iaitu) buatlah baju besi yang besar-besar dan ukurlah anyamannya; dan kerjakanlah amalan yang soleh Sesungguhnya Aku melihat apa yang kamu kerjakan”",Bagaimana membuat baju besi dengan mengukur dan menyusun besi dalam anyaman,Bagaimana membentuk besi dengan menggunakan tungku api,Bagaimana membentuk besi menjadi baju besi dengan menggunakan palu,Bagaimana mengukur baju besi dari besi yang lembut menggunakan tali pengukur
042203401,"Apa yang dimaksudkan dengan ""sabghat""?",Baju besi yang besar-besar,Anyaman besi,Ukuran baju besi,Baju yang ditempa
052203401,Apa yang menjadi tanda kekafiran kaum Saba'?,Penolakan untuk menerima rasul-rasul Allah,Tidak membayar zakat kepada fakir miskin,Membangun kuil-kuil untuk menyembah berhala,Tidak menjaga empangan air dengan baik
062203401,Apa nikmat yang diberikan kepada negeri Saba'?,Kedua kebun yang subur di sebelah kiri dan kanan,Kehidupan yang menyenangkan dan kemakmuran,Kebun-kebun yang ditumbuhi dengan buah-buahan pahit,Penempatan kota-kota yang selamat untuk berdagang
072203401,Apa yang diberikan Allah kepada kaum Saba' sebagai pengganti kebun mereka yang subur?,Kebun-kebun yang ditumbuhi dengan pohon-pohon berduri,Kebun-kebun yang lebih indah,Kebun-kebun yang penuh dengan buah-buahan lazat,Kebun-kebun yang ditumbuhi dengan pohon-pohon Bidara yang subur
082203401,Apakah balasan yang diberikan kepada kaum Saba' karena kekufuran mereka?,Mereka dikenakan banjir yang besar,Mereka diberikan kekayaan yang melimpah,Mereka diberikan nikmat kebahagiaan yang abadi,Mereka diberikan tanah subur untuk bercucuk tanam
092203401,Mengapa kaum Saba' dikenakan hukuman banjir yang besar?,Mereka tidak menghargai nikmat-nikmat Allah,Mereka tidak menyembah matahari,Mereka tidak membayar zakat kepada fakir miskin,Mereka melakukan kemungkaran di tempat terbuka
102203401,Mengapa kisah kaum Saba' disebutkan di dalam Surah Saba' dalam Quran?,Untuk memberikan contoh tentang kekufuran dan hukuman yang diterima oleh kaum yang tidak bersyukur,Untuk mengajar umat Islam tentang pentingnya bersyukur terhadap nikmat Allah,Untuk menunjukkan keunggulan kehidupan kaum Saba' yang sejahtera,Untuk menyampaikan ajaran tentang kebijaksanaan dalam berdagang dengan negeri-negeri lain
012203501,"Apakah peringatan yang Allah berikan kepada manusia berdasarkan ayat di bawah?Apakah peringatan yang Allah berikan kepada manusia berdasarkan ayat di bawah?“Hai manusia, ingatlah akan nikmat Allah kepadamu Adakah pencipta selain Allah yang dapat memberikan rezeki kepada kamu dari langit dan bumi? Tidak ada ilah selain Dia; maka mengapakah kamu berpaling?”","Allah menegaskan bahawa setiap pencipta dan penyedia rezeki selain daripada-Nya tidak ada Tuhan (yang layak disembah) kecuali Dia","Allah menegaskan bahawa manusia harus melupakan nikmat Allah yang diberikan kepada mereka dari langit dan bumi",Allah menyeru manusia untuk berdoa kepada para malaikat sebagai perantara untuk mendapatkan rezeki,"Allah menegaskan bahawa manusia harus menghindari kesyirikan dengan tidak memuja atau menyembah selain Allah"
022203501,Siapakah yang Allah jadikan sebagai utusan-utusan yang mempunyai sayap?,Malaikat,Jin,Manusia,Syaitan
032203501,"Apakah maksud yang terkandung dalam sifat ""al-Aziz al-Hakim""?",Maha Perkasa dan Maha Bijaksana,Maha Penyayang dan Maha Pengampun,Maha Mengetahui dan Maha Mendengar, Maha Kuasa dan Maha Adil
042203501,Golongan manakah yang dinyatakan sebagai penerima ampunan dan pahala yang besar?,Golongan yang beriman dan mengerjakan amal soleh,Golongan yang melakukan perbuatan buruk tetapi dijadikan menganggap baik perbuatan mereka dan mempercayainya sebagai baik,Golongan yang menyertai syaitan dan mengikuti bisikannya tanpa disedari,"Golongan yang menunjukkan kebaikan secara lahiriah tetapi dalam hati mereka dipenuhi dengan kedurhakaan"
052203501,Apakah ganjaran terhadap amalan orang-orang kafir?,Mereka akan menghadapi azab yang menyakitkan di neraka,Mereka akan memperoleh pahala yang besar di syurga,Mereka akan mendapat kehidupan yang penuh kebahagiaan dan kesejahteraan di dunia,Mereka akan diberikan kesempatan untuk bertaubat dan masuk syurga
062203501,Bagaimanakah cara untuk mendapatkan kemuliaan menurut surah Fatir?,Berkata-kata yang baik dan amalan soleh,Kekuasaan dan kekayaan,Kepentingan dan kedudukan sosial,Pengetahuan dan kebijaksanaan
072203501,"Allah menyatakan bahawa umur manusia ditentukan dalam Kitab Allah Di mana umur seseorang hanya dapat diperpanjang atau dikurangkan oleh Allah Apa yang dimaksudkan dengan ""Kitab"" dalam ayat tersebut?","Luh Mahfuz",Al-Quran,Injil,Zabur
082203501,Apa yang tercatat di dalam Luh Mahfuz?,Semua jawapan adalah benar,Jangka hayat setiap individu,Kehidupan setiap individu,Kelahiran setiap individu
092203501,Apa yang Allah tegaskan dalam Surah Fatir tentang orang-orang yang hidup dan orang-orang yang mati?,"Orang hidup dapat mendengar, tetapi orang mati tidak",Orang hidup dan orang mati memiliki kehidupan yang sama,"Orang hidup dapat merasakan panas dan dingin, tetapi orang mati tidak",Orang hidup dan orang mati memiliki tingkat kesadaran yang sama
102203501,Bagaimana keadaan ahli neraka kelak nanti?,Mereka memohon untuk dikeluarkan dari neraka dan diberikan kesempatan untuk beramal soleh,Mereka menikmati kebebasan dan kesenangan di neraka,Mereka terus menolak untuk beriman dan mengakui kesalahan mereka,Mereka menikmati hidup yang sempurna di dunia baru
012203601,Apakah tujuan utama Al-Quran diturunkan?,Untuk memberi peringatan kepada kaum yang bapa-bapa mereka belum pernah diberi peringatan,Untuk memberi tanda-tanda orang-orang yang sesat,Agar manusia dapat beribadah dengan betul,Agar umat Islam dapat memperoleh rezeki yang berlimpah
022203601,Mengapa kebanyakan dari manusia tidak beriman?,"Kerana mereka telah mendapat dakwah dan peluang untuk beriman, tetapi mereka memilih untuk menolaknya",Kerana mereka terlalu sibuk dengan urusan dunia sehingga tidak sempat memikirkan agama,Kerana mereka tidak pernah diberi petunjuk atau wahyu dari Allah,Kerana mereka tidak mahu mendengar dakwah yang disampaikan oleh Nabi Muhammad
032203601,Apakah yang menjadi penghalang bagi kebanyakan dari mereka untuk menerima hidayah?,Sifat tamak dan gila mereka kepada harta benda dan pangkat,Tidak memberi sedekah kepada fakir miskin,Tidak mengamalkan zikir setiap hari,Kurangnya upaya dakwah yang dilakukan kepada orang ramai
042203601,Apa yang Allah janjikan kepada orang-orang yang menerima hidayah?,Pengampunan dan pahala yang mulia,Kesengsaraan dan seksaan yang pedih,Kegelapan dan kesesatan abadi,Penghargaan dunia semata-mata
052203601,Apakah kesan yang dialami oleh orang-orang yang tidak mahu menerima hidayah?,Mereka akan mengalami kegelapan dan terhalang daripada menerima hidayah,Mereka akan mendapat keampunan dan pahala yang besar,Allah akan membuka pintu hidayah bagi mereka,Mereka akan dimasukkan ke dalam syurga
062203601,Mengapakah Allah memberikan contoh tentang matahari dan bulan dalam Surah Yaasin?,Untuk mengingatkan manusia tentang keteraturan dan kebesaran Allah dalam menciptakan alam semesta,Untuk menunjukkan keindahan alam semesta yang diciptakan oleh Allah,Untuk menekankan betapa pentingnya mengetahui perjalanan matahari dan bulan,Untuk menegaskan bahawa matahari dan bulan adalah objek penting dalam astronomi
072203601,Apa yang Allah tetapkan bagi matahari dan bulan dalam Surah Yaasin?,Allah menetapkan agar matahari dan bulan berada dalam orbit mereka masing-masing,Allah menetapkan pergerakan matahari ke arah timur dan bulan ke arah barat,"Allah menetapkan agar matahari dapat mendahului bulan, dan malam dapat mendahului siang",Allah menetapkan agar matahari dan bulan berada di langit pada waktu yang sama
082203601,"Apa yang dimaksudkan dengan pernyataan ""Tidak mampu bagi matahari itu mengejar bulan"" dalam Surah Yaasin?",Matahari tidak boleh mendahului bulan dalam pergerakannya di langit,Matahari tidak mampu mencapai bulan dalam jarak yang begitu jauh,Matahari tidak mampu mencapai bulan dalam kekuatan dan kebesarannya,Matahari tidak boleh mengejar bulan kerana bulan selalu bergerak lebih cepat
092203601,Apakah pelajaran yang dapat diambil dari perumpamaan matahari dan bulan dalam Surah Yaasin?,Allah menunjukkan kekuasaan-Nya dalam mengatur alam semesta dengan sempurna,Keteraturan alam semesta adalah hasil dari kebetulan semata-mata,Keberadaan matahari dan bulan tidak memiliki keterkaitan yang signifikan,Perubahan cuaca dan peristiwa alam tidak dipengaruhi oleh pergerakan matahari dan bulan
102203601,Apakah yang akan menyebabkan orang-orang yang telah mati dibangkitkan dari kubur?,Ditiupkan pada sangkakala,Tempikan satu teriakan,Cahaya yang menyuluh dari langit,Gempa bumi yang dahsyat
012303701,Apakah tindakan yang diambil oleh para penumpang kapal untuk menentukan siapa yang akan dibuang dari kapal?,Mengundi,Tidak berbuat apa-aapa,Memilih sukarela,Bertengkar dan berdebat
022303701,Berapa kali pengundian dilakukan untuk menentukan siapa yang harus dibuang dari kapal?,Tiga kali,Satu kali,Dua kali,Empat kali
032303701,Siapakah yang dipilih untuk dibuang daripada kapal dalam kisah Nabi Yunus?,Nabi Yunus,Ketua kapal,Seorang penumpang tua,Seorang penumpang muda
042303701,Apakah yang ditakdirkan oleh Allah bagi Nabi Yunus setelah baginda dibuang dari kapal?,Baginda ditelan oleh seekor ikan,Baginda diselamatkan oleh malaikat,Baginda terdampar di sebuah pulau,Baginda ditenggelamkan ke dasar laut
052303701,Mengapa Nabi Yunus ditelan oleh seekor ikan?,Kerana baginda telah meninggalkan kaumnya tanpa izin Allah,Kerana baginda dituduh melakukan kesalahan oleh kaumnya,Kerana baginda tidak mampu berenang,Kerana baginda hendak mencari harta di dalam lautan
062303701,Apakah tindakan Nabi Yunus semasa berada di dalam perut ikan?,Berdoa dan bertawakal kepada Allah,Menyalahkan dirinya sendiri atas kesalahannya,Mencari jalan untuk melarikan diri tanpa bantuan Allah,Baginda sudah putus asa dengan kaumnya
072303701,Apa yang ditumbuhkan oleh Allah untuk Nabi Yunus untuk mengubati kesakitannya?,Labu,Kurma,Tembikai,Tebu
082303701,Berapa jumlah umat manusia yang beriman setelah Nabi Yunus kembali kepada mereka?,Seratus ribu atau lebih,Kurang daripada seratus ribu,Lima puluh ribu,Sepuluh ribu
092303701,Mengapa Allah tidak meneruskan azab kepada kaum Nabi Yunus walaupun mereka telah membangkang?,Kerana mereka bertaubat dan beriman,Kerana Nabi Yunus telah meninggalkan mereka,Kerana Allah berasa kasihan terhadap mereka,Kerana mereka berjanji tidak akan melakukan kesalahan lagi
102303701,Apa yang dikatakan tentang kesabaran Nabi Yunus semasa berada di dalam perut ikan?,Baginda bersabar dan terus berzikir kepada Allah,Baginda kehilangan harapan kepada Allah,Baginda menyalahkan Allah atas musibah yang menimpanya,Baginda mencari cara untuk melarikan diri dari musibah tersebut
012303801,Apa nama nabi yang diberi ujian penyakit yang sangat berat oleh Allah SWT?,Nabi Ayyub,Nabi Yunus,Nabi Musa,Nabi Ibrahim
022303801,Apakah tindakan yang disarankan oleh Allah kepada Nabi Ayyub untuk mendapatkan air untuk mandi dan diminum?,Menghentakkan kaki ke tanah,Berdoa kepada Allah untuk mengutus malaikat,Menggali telaga air,Meniupkan nafas ke dalam tanah
032303801,Siapakah yang mencuba untuk menyesatkan keimanan Nabi Ayyub dan isterinya?,Syaitan,Anak-anak mereka,Sahabat mereka,Jin
042303801,Apakah yang Nabi Ayyub lakukan ketika diserang oleh syaitan?,Memohon pertolongan daripada Allah SWT,Mencari bantuan daripada dukun,Melarikan diri ke gunung,Menyembah syaitan untuk mendapat kesembuhan
052303801,Siapakah yang dikembalikan kepada Nabi Ayyub setelah baginda sembuh dari penyakitnya?,Keluarga baginda beserta isteri,Anak-anaknya sahaja,Isterinya sahaja,Keluarga baginda tanpa isteri
062303801,Bagaimana Allah memberi jalan keluar bagi Nabi Ayyub untuk memenuhi sumpahnya tanpa melakukan kezaliman terhadap isterinya?,Allah menyuruh baginda merotan isterinya sekali dengan daun rumput,Allah menyuruh baginda menunaikan haji sebagai tebusan,Allah menyuruh baginda memberikan sedekah,Allah menyuruh baginda memohon maaf kepada isterinya
